Date, Day,Name,Type
1 Jan,Wednesday,New Year's Day,Restricted Holiday
2 Jan,Thursday,Last day of Hanukkah,Observance
6 Jan,Monday,Guru Govind Singh Jayanti,Restricted Holiday
13 Jan,Monday,Lohri,Observance
14 Jan,Tuesday,Pongal,Restricted Holiday
14 Jan,Tuesday,Makar Sankranti,Restricted Holiday
14 Jan,Tuesday,Hazarat Ali's Birthday,Restricted Holiday
26 Jan,Sunday,Republic Day,Gazetted Holiday
29 Jan,Wednesday,Lunar New Year,Observance
2 Feb,Sunday,Vasant Panchami,Restricted Holiday
12 Feb,Wednesday,Guru Ravidas Jayanti,Restricted Holiday
14 Feb,Friday,Valentine's Day,Observance
19 Feb,Wednesday,Shivaji Jayanti,Restricted Holiday
23 Feb,Sunday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
26 Feb,Wednesday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2 Mar,Sunday,Ramadan Start (Tentative Date),Observance
13 Mar,Thursday,Holika Dahana,Restricted Holiday
14 Mar,Friday,Holi,Gazetted Holiday
14 Mar,Friday,Dolyatra,Restricted Holiday
20 Mar,Thursday,March Equinox,Season
28 Mar,Friday,Jamat Ul-Vida (Tentative Date),Restricted Holiday
30 Mar,Sunday,Chaitra Sukhladi,Restricted Holiday
30 Mar,Sunday,Ugadi,Restricted Holiday
30 Mar,Sunday,Gudi Padwa,Restricted Holiday
31 Mar,Monday,Ramzan Id/Eid-ul-Fitar (Tentative Date),Gazetted Holiday
6 Apr,Sunday,Rama Navami,Restricted Holiday
10 Apr,Thursday,Mahavir Jayanti,Gazetted Holiday
13 Apr,Sunday,First day of Passover,Observance
13 Apr,Sunday,Vaisakhi,Restricted Holiday
14 Apr,Monday,Mesadi,Restricted Holiday
14 Apr,Monday,Ambedkar Jayanti,Observance
15 Apr,Tuesday,Bahag Bihu/Vaisakhadi,Restricted Holiday
17 Apr,Thursday,Maundy Thursday,Observance, Christian
18 Apr,Friday,Good Friday,Gazetted Holiday
20 Apr,Sunday,Easter Day,Restricted Holiday
1 May,Thursday,International Worker's Day,Observance
9 May,Friday,Birthday of Rabindranath,Restricted Holiday
11 May,Sunday,Mothers' Day,Observance
12 May,Monday,Buddha Purnima/Vesak,Gazetted Holiday
7 Jun,Saturday,Bakrid/Eid ul-Adha (Tentative Date),Gazetted Holiday
15 Jun,Sunday,Fathers' Day,Observance
21 Jun,Saturday,June Solstice,Season
27 Jun,Friday,Rath Yatra,Restricted Holiday
6 Jul,Sunday,Muharram/Ashura (Tentative Date),Gazetted Holiday
10 Jul,Thursday,Guru Purnima,Observance
3 Aug,Sunday,Friendship Day,Observance
9 Aug,Saturday,Raksha Bandhan (Rakhi),Restricted Holiday
15 Aug,Friday,Independence Day,Gazetted Holiday
15 Aug,Friday,Janmashtami (Smarta),Restricted Holiday
15 Aug,Friday,Parsi New Year,Restricted Holiday
16 Aug,Saturday,Janmashtami,Gazetted Holiday
27 Aug,Wednesday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
5 Sep,Friday,Milad un-Nabi/Id-e-Milad (Tentative Date),Gazetted Holiday
5 Sep,Friday,Onam,Restricted Holiday
22 Sep,Monday,First Day of Sharad Navratri,Observance, Hinduism
22 Sep,Monday,September Equinox,Season
28 Sep,Sunday,First Day of Durga Puja Festivities,Observance, Hinduism
29 Sep,Monday,Maha Saptami,Restricted Holiday
30 Sep,Tuesday,Maha Ashtami,Restricted Holiday
1 Oct,Wednesday,Maha Navami,Restricted Holiday
2 Oct,Thursday,Mahatma Gandhi Jayanti,Gazetted Holiday
2 Oct,Thursday,Dussehra,Gazetted Holiday
7 Oct,Tuesday,Maharishi Valmiki Jayanti,Restricted Holiday
10 Oct,Friday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
20 Oct,Monday,Naraka Chaturdasi,Restricted Holiday
20 Oct,Monday,Diwali/Deepavali,Gazetted Holiday
22 Oct,Wednesday,Govardhan Puja,Restricted Holiday
23 Oct,Thursday,Bhai Duj,Restricted Holiday
28 Oct,Tuesday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
31 Oct,Friday,Halloween,Observance
5 Nov,Wednesday,Guru Nanak Jayanti,Gazetted Holiday
24 Nov,Monday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
15 Dec,Monday,First Day of Hanukkah,Observance
21 Dec,Sunday,December Solstice,Season
22 Dec,Monday,Last day of Hanukkah,Observance
24 Dec,Wednesday,Christmas Eve,Restricted Holiday
25 Dec,Thursday,Christmas,Gazetted Holiday
31 Dec,Wednesday,New Year's Eve,Observance